SENSE daab 1 26-04-2019 03:34:19.873 T: 29.01599884033203 [C]; A:[0, 0, 0]; H: 72.45306396484375
SENSE daac 380 26-04-2019 03:41:41.287 T: 29.82719993591308 [C]; A:[-30, -10, 202]; H: 70.2176513671875
SENSE daab 526 26-04-2019 03:41:41.551 T: 29.57759857177734 [C]; A:[84, 0, 220]; H: 71.20184326171875
SENSE daaa 527 26-04-2019 03:41:41.792 T: 28.64159965515136 [C]; A:[116, 72, 208]; H: 71.2705078125
SENSE daab 527 26-04-2019 03:41:41.954 T: 29.57759857177734 [C]; A:[86, -6, 218]; H: 71.20184326171875
SENSE daac 381 26-04-2019 03:41:41.847 T: 29.88959884643554 [C]; A:[-34, -14, 200]; H: 70.1871337890625
SENSE daaa 528 26-04-2019 03:41:42.210 T: 28.57919883728027 [C]; A:[120, 70, 212]; H: 71.2705078125
SENSE daab 528 26-04-2019 03:41:42.352 T: 29.57759857177734 [C]; A:[86, 0, 220]; H: 71.20184326171875
SENSE daaa 529 26-04-2019 03:41:42.614 T: 28.57919883728027 [C]; A:[116, 72, 202]; H: 71.239990234375
SENSE daac 382 26-04-2019 03:41:42.417 T: 29.82719993591308 [C]; A:[-30, -12, 192]; H: 70.1871337890625
SENSE daab 529 26-04-2019 03:41:42.750 T: 29.51519966125488 [C]; A:[84, 0, 220]; H: 71.20184326171875
SENSE daaa 530 26-04-2019 03:41:43.017 T: 28.57919883728027 [C]; A:[112, 76, 208]; H: 71.239990234375
SENSE daab 530 26-04-2019 03:41:43.148 T: 29.57759857177734 [C]; A:[88, -4, 220]; H: 71.20184326171875
SENSE daac 383 26-04-2019 03:41:42.982 T: 29.88959884643554 [C]; A:[-30, -12, 204]; H: 70.1871337890625
SENSE daaa 531 26-04-2019 03:41:43.415 T: 28.57919883728027 [C]; A:[118, 74, 208]; H: 71.239990234375
SENSE daac 384 26-04-2019 03:41:43.542 T: 29.82719993591308 [C]; A:[-30, -12, 198]; H: 70.1871337890625
SENSE daaa 532 26-04-2019 03:41:43.813 T: 28.64159965515136 [C]; A:[120, 74, 212]; H: 71.239990234375
SENSE daab 532 26-04-2019 03:41:43.920 T: 29.57759857177734 [C]; A:[86, -4, 222]; H: 71.20184326171875
SENSE daaa 533 26-04-2019 03:41:44.216 T: 28.57919883728027 [C]; A:[120, 72, 208]; H: 71.239990234375
SENSE daac 385 26-04-2019 03:41:44.107 T: 29.82719993591308 [C]; A:[-28, -18, 204]; H: 70.1871337890625
SENSE daaa 534 26-04-2019 03:41:44.634 T: 28.57919883728027 [C]; A:[120, 76, 202]; H: 71.239990234375
SENSE daac 386 26-04-2019 03:41:44.682 T: 29.88959884643554 [C]; A:[-32, -10, 208]; H: 70.1566162109375
SENSE daaa 535 26-04-2019 03:41:45.032 T: 28.57919883728027 [C]; A:[114, 70, 208]; H: 71.239990234375
SENSE daab 535 26-04-2019 03:41:45.044 T: 29.57759857177734 [C]; A:[88, -6, 216]; H: 71.20184326171875
SENSE daab 536 26-04-2019 03:41:45.442 T: 29.57759857177734 [C]; A:[86, 0, 218]; H: 71.17132568359375
SENSE daab 537 26-04-2019 03:41:45.865 T: 29.57759857177734 [C]; A:[88, -6, 218]; H: 71.17132568359375
SENSE daac 388 26-04-2019 03:41:45.792 T: 29.88959884643554 [C]; A:[-32, -8, 194]; H: 70.13372802734375
SENSE daaa 538 26-04-2019 03:41:46.157 T: 28.64159965515136 [C]; A:[116, 72, 206]; H: 71.239990234375
SENSE daab 538 26-04-2019 03:41:46.263 T: 29.57759857177734 [C]; A:[84, 0, 218]; H: 71.17132568359375
SENSE daac 389 26-04-2019 03:41:46.367 T: 29.88959884643554 [C]; A:[-34, -10, 198]; H: 70.13372802734375
SENSE daaa 540 26-04-2019 03:41:46.934 T: 28.57919883728027 [C]; A:[118, 78, 212]; H: 71.18658447265625
SENSE daab 540 26-04-2019 03:41:47.049 T: 29.57759857177734 [C]; A:[82, 0, 220]; H: 71.14080810546875
SENSE daac 390 26-04-2019 03:41:46.947 T: 29.88959884643554 [C]; A:[-32, -12, 198]; H: 70.13372802734375
SENSE daaa 541 26-04-2019 03:41:47.337 T: 28.57919883728027 [C]; A:[118, 74, 218]; H: 71.18658447265625
SENSE daaa 541 26-04-2019 03:41:47.337 T: 28.57919883728027 [C]; A:[118, 74, 218]; H: 71.18658447265625
SENSE daab 541 26-04-2019 03:41:47.467 T: 29.57759857177734 [C]; A:[90, -6, 222]; H: 71.14080810546875
SENSE daaa 542 26-04-2019 03:41:47.745 T: 28.57919883728027 [C]; A:[118, 74, 206]; H: 71.18658447265625
SENSE daac 391 26-04-2019 03:41:47.507 T: 29.88959884643554 [C]; A:[-34, -8, 196]; H: 70.13372802734375
SENSE daab 542 26-04-2019 03:41:47.885 T: 29.57759857177734 [C]; A:[82, 0, 222]; H: 71.14080810546875
SENSE daaa 543 26-04-2019 03:41:48.143 T: 28.57919883728027 [C]; A:[116, 72, 210]; H: 71.18658447265625
SENSE daaa 544 26-04-2019 03:41:48.541 T: 28.64159965515136 [C]; A:[114, 72, 216]; H: 71.18658447265625
SENSE daac 393 26-04-2019 03:41:48.562 T: 29.88959884643554 [C]; A:[-28, -8, 194]; H: 70.13372802734375
SENSE daaa 545 26-04-2019 03:41:48.939 T: 28.64159965515136 [C]; A:[118, 72, 210]; H: 71.18658447265625
SENSE daab 545 26-04-2019 03:41:48.999 T: 29.57759857177734 [C]; A:[84, -4, 214]; H: 71.14080810546875
SENSE daaa 546 26-04-2019 03:41:49.347 T: 28.57919883728027 [C]; A:[114, 78, 210]; H: 71.18658447265625
SENSE daac 394 26-04-2019 03:41:49.132 T: 29.88959884643554 [C]; A:[-32, -10, 198]; H: 70.13372802734375
SENSE daab 547 26-04-2019 03:41:49.770 T: 29.51519966125488 [C]; A:[80, 0, 212]; H: 71.14080810546875
SENSE daac 395 26-04-2019 03:41:49.692 T: 29.88959884643554 [C]; A:[-36, -10, 200]; H: 70.13372802734375
SENSE daaa 548 26-04-2019 03:41:50.119 T: 28.64159965515136 [C]; A:[118, 70, 206]; H: 71.18658447265625
SENSE daab 548 26-04-2019 03:41:50.168 T: 29.57759857177734 [C]; A:[84, 0, 220]; H: 71.117919921875
SENSE daac 396 26-04-2019 03:41:50.252 T: 29.88959884643554 [C]; A:[-32, -12, 198]; H: 70.13372802734375
SENSE daab 549 26-04-2019 03:41:50.566 T: 29.57759857177734 [C]; A:[86, -6, 216]; H: 71.117919921875
SENSE daab 550 26-04-2019 03:41:50.964 T: 29.57759857177734 [C]; A:[86, -6, 224]; H: 71.117919921875
SENSE daac 397 26-04-2019 03:41:50.812 T: 29.88959884643554 [C]; A:[-26, -14, 200]; H: 70.10321044921875
SENSE daab 551 26-04-2019 03:41:51.357 T: 29.51519966125488 [C]; A:[86, -4, 216]; H: 71.117919921875
SENSE daac 398 26-04-2019 03:41:51.372 T: 29.88959884643554 [C]; A:[-30, -10, 200]; H: 70.10321044921875
SENSE daaa 552 26-04-2019 03:41:51.607 T: 28.64159965515136 [C]; A:[116, 74, 208]; H: 71.15606689453125
SENSE daab 552 26-04-2019 03:41:51.760 T: 29.57759857177734 [C]; A:[88, -6, 216]; H: 71.08740234375
SENSE daac 399 26-04-2019 03:41:51.932 T: 29.88959884643554 [C]; A:[-30, -14, 208]; H: 70.10321044921875
SENSE daab 553 26-04-2019 03:41:52.158 T: 29.51519966125488 [C]; A:[86, 0, 220]; H: 71.08740234375
SENSE daab 554 26-04-2019 03:41:52.556 T: 29.51519966125488 [C]; A:[88, -6, 218]; H: 71.08740234375
SENSE daac 400 26-04-2019 03:41:52.502 T: 29.88959884643554 [C]; A:[-32, -8, 196]; H: 70.13372802734375
SENSE daaa 555 26-04-2019 03:41:52.771 T: 28.64159965515136 [C]; A:[116, 72, 204]; H: 71.15606689453125
SENSE daab 555 26-04-2019 03:41:52.974 T: 29.51519966125488 [C]; A:[84, 0, 218]; H: 71.08740234375
SENSE daac 401 26-04-2019 03:41:53.062 T: 29.82719993591308 [C]; A:[-32, -12, 200]; H: 70.13372802734375
SENSE daab 556 26-04-2019 03:41:53.372 T: 29.51519966125488 [C]; A:[90, 0, 214]; H: 71.08740234375
SENSE daaa 557 26-04-2019 03:41:53.538 T: 28.57919883728027 [C]; A:[116, 72, 214]; H: 71.15606689453125
SENSE daac 402 26-04-2019 03:41:53.622 T: 29.88959884643554 [C]; A:[-28, -10, 202]; H: 70.13372802734375
SENSE daaa 558 26-04-2019 03:41:53.941 T: 28.57919883728027 [C]; A:[118, 74, 206]; H: 71.15606689453125
SENSE daab 558 26-04-2019 03:41:54.134 T: 29.57759857177734 [C]; A:[86, 0, 216]; H: 71.08740234375
SENSE daaa 559 26-04-2019 03:41:54.349 T: 28.57919883728027 [C]; A:[120, 72, 210]; H: 71.12554931640625
SENSE daac 403 26-04-2019 03:41:54.182 T: 29.88959884643554 [C]; A:[-28, -14, 194]; H: 70.13372802734375
SENSE daaa 561 26-04-2019 03:41:55.110 T: 28.57919883728027 [C]; A:[116, 72, 208]; H: 71.12554931640625
SENSE daab 561 26-04-2019 03:41:55.268 T: 29.51519966125488 [C]; A:[88, 0, 222]; H: 71.08740234375
SENSE daaa 562 26-04-2019 03:41:55.508 T: 28.57919883728027 [C]; A:[116, 74, 206]; H: 71.12554931640625
SENSE daac 405 26-04-2019 03:41:55.267 T: 29.88959884643554 [C]; A:[-30, -12, 200]; H: 70.13372802734375
SENSE daab 562 26-04-2019 03:41:55.666 T: 29.57759857177734 [C]; A:[86, 0, 226]; H: 71.08740234375
SENSE daac 406 26-04-2019 03:41:55.837 T: 29.88959884643554 [C]; A:[-30, -12, 198]; H: 70.1566162109375
SENSE daab 563 26-04-2019 03:41:56.064 T: 29.57759857177734 [C]; A:[88, 0, 220]; H: 71.08740234375
SENSE daaa 564 26-04-2019 03:41:56.275 T: 28.57919883728027 [C]; A:[118, 72, 214]; H: 71.12554931640625
SENSE daab 564 26-04-2019 03:41:56.462 T: 29.51519966125488 [C]; A:[82, 4, 212]; H: 71.08740234375
SENSE daac 407 26-04-2019 03:41:56.397 T: 29.88959884643554 [C]; A:[-32, -6, 206]; H: 70.1566162109375
SENSE daaa 566 26-04-2019 03:41:57.061 T: 28.57919883728027 [C]; A:[114, 76, 206]; H: 71.12554931640625
SENSE daab 566 26-04-2019 03:41:57.224 T: 29.57759857177734 [C]; A:[86, 0, 220]; H: 71.117919921875
SENSE daaa 567 26-04-2019 03:41:57.429 T: 28.64159965515136 [C]; A:[120, 74, 208]; H: 71.12554931640625
SENSE daac 409 26-04-2019 03:41:57.487 T: 29.88959884643554 [C]; A:[-32, -12, 198]; H: 70.1871337890625
SENSE daaa 568 26-04-2019 03:41:57.847 T: 28.57919883728027 [C]; A:[118, 72, 214]; H: 71.12554931640625
SENSE daaa 569 26-04-2019 03:41:58.250 T: 28.57919883728027 [C]; A:[116, 74, 204]; H: 71.12554931640625
SENSE daac 410 26-04-2019 03:41:58.047 T: 29.88959884643554 [C]; A:[-32, -10, 198]; H: 70.1871337890625
SENSE daab 569 26-04-2019 03:41:58.343 T: 29.51519966125488 [C]; A:[86, 0, 216]; H: 71.117919921875
SENSE daaa 570 26-04-2019 03:41:58.648 T: 28.64159965515136 [C]; A:[118, 74, 212]; H: 71.1026611328125
SENSE daab 570 26-04-2019 03:41:58.736 T: 29.51519966125488 [C]; A:[84, 0, 214]; H: 71.117919921875
SENSE daaa 571 26-04-2019 03:41:59.062 T: 28.57919883728027 [C]; A:[116, 76, 208]; H: 71.1026611328125
SENSE daab 571 26-04-2019 03:41:59.134 T: 29.57759857177734 [C]; A:[84, 0, 218]; H: 71.07977294921875
SENSE daac 412 26-04-2019 03:41:59.142 T: 29.82719993591308 [C]; A:[-32, -12, 194]; H: 70.1871337890625
SENSE daaa 572 26-04-2019 03:41:59.470 T: 28.57919883728027 [C]; A:[120, 74, 212]; H: 71.1026611328125
SENSE daab 572 26-04-2019 03:41:59.538 T: 29.57759857177734 [C]; A:[84, 0, 212]; H: 71.08740234375
SENSE daaa 573 26-04-2019 03:41:59.873 T: 28.64159965515136 [C]; A:[120, 80, 208]; H: 71.1026611328125
SENSE daac 413 26-04-2019 03:41:59.707 T: 29.88959884643554 [C]; A:[-30, -6, 196]; H: 70.1871337890625
SENSE daab 573 26-04-2019 03:41:59.935 T: 29.57759857177734 [C]; A:[88, 0, 218]; H: 71.08740234375
SENSE daaa 574 26-04-2019 03:42:00.276 T: 28.57919883728027 [C]; A:[120, 76, 216]; H: 71.1026611328125
SENSE daac 414 26-04-2019 03:42:00.267 T: 29.88959884643554 [C]; A:[-36, -10, 198]; H: 70.1871337890625
SENSE daab 575 26-04-2019 03:42:00.696 T: 29.57759857177734 [C]; A:[84, 0, 216]; H: 71.08740234375
SENSE daaa 576 26-04-2019 03:42:01.037 T: 28.57919883728027 [C]; A:[120, 70, 208]; H: 71.1026611328125
SENSE daac 415 26-04-2019 03:42:00.827 T: 29.88959884643554 [C]; A:[-30, -14, 240]; H: 70.1871337890625
SENSE daab 576 26-04-2019 03:42:01.089 T: 29.57759857177734 [C]; A:[86, 0, 220]; H: 71.08740234375
SENSE daaa 577 26-04-2019 03:42:01.445 T: 28.57919883728027 [C]; A:[118, 72, 208]; H: 71.1026611328125
SENSE daac 416 26-04-2019 03:42:01.387 T: 29.88959884643554 [C]; A:[-34, -10, 198]; H: 70.1871337890625
SENSE daab 578 26-04-2019 03:42:01.850 T: 29.51519966125488 [C]; A:[86, 0, 222]; H: 71.08740234375
SENSE daac 417 26-04-2019 03:42:01.947 T: 29.88959884643554 [C]; A:[-30, -8, 200]; H: 70.1871337890625
SENSE daaa 579 26-04-2019 03:42:02.222 T: 28.57919883728027 [C]; A:[116, 74, 210]; H: 71.0721435546875
SENSE daab 579 26-04-2019 03:42:02.254 T: 29.51519966125488 [C]; A:[88, -4, 218]; H: 71.08740234375
SENSE daab 580 26-04-2019 03:42:02.652 T: 29.51519966125488 [C]; A:[88, 0, 216]; H: 71.08740234375
SENSE daaa 581 26-04-2019 03:42:02.988 T: 28.57919883728027 [C]; A:[120, 70, 216]; H: 71.1026611328125
SENSE daab 581 26-04-2019 03:42:03.055 T: 29.51519966125488 [C]; A:[82, 0, 218]; H: 71.08740234375
SENSE daaa 582 26-04-2019 03:42:03.386 T: 28.57919883728027 [C]; A:[112, 74, 208]; H: 71.1026611328125
SENSE daab 582 26-04-2019 03:42:03.458 T: 29.51519966125488 [C]; A:[86, 0, 218]; H: 71.08740234375
SENSE daab 582 26-04-2019 03:42:03.458 T: 29.51519966125488 [C]; A:[86, 0, 218]; H: 71.08740234375
SENSE daac 420 26-04-2019 03:42:03.562 T: 29.88959884643554 [C]; A:[-26, -10, 198]; H: 70.1566162109375
SENSE daab 583 26-04-2019 03:42:03.866 T: 29.51519966125488 [C]; A:[88, -6, 224]; H: 71.04925537109375
SENSE daab 583 26-04-2019 03:42:03.866 T: 29.51519966125488 [C]; A:[88, -6, 224]; H: 71.04925537109375
SENSE daaa 584 26-04-2019 03:42:04.158 T: 28.57919883728027 [C]; A:[116, 68, 214]; H: 71.1026611328125
SENSE daac 421 26-04-2019 03:42:04.123 T: 29.88959884643554 [C]; A:[-32, -12, 204]; H: 70.1566162109375
SENSE daab 585 26-04-2019 03:42:04.652 T: 29.51519966125488 [C]; A:[82, 0, 214]; H: 71.08740234375
SENSE daaa 586 26-04-2019 03:42:04.934 T: 28.57919883728027 [C]; A:[116, 76, 210]; H: 71.1026611328125
SENSE daac 422 26-04-2019 03:42:04.698 T: 29.88959884643554 [C]; A:[-32, -4, 192]; H: 70.1566162109375
SENSE daab 586 26-04-2019 03:42:05.060 T: 29.57759857177734 [C]; A:[82, 0, 220]; H: 71.08740234375
SENSE daaa 587 26-04-2019 03:42:05.332 T: 28.51679992675781 [C]; A:[120, 70, 216]; H: 71.1026611328125
SENSE daab 587 26-04-2019 03:42:05.458 T: 29.57759857177734 [C]; A:[90, -6, 216]; H: 71.04925537109375
SENSE daac 423 26-04-2019 03:42:05.258 T: 29.88959884643554 [C]; A:[-30, -10, 206]; H: 70.1566162109375
SENSE daac 424 26-04-2019 03:42:05.828 T: 29.88959884643554 [C]; A:[-38, -6, 202]; H: 70.1566162109375
SENSE daab 589 26-04-2019 03:42:06.254 T: 29.57759857177734 [C]; A:[84, -6, 214]; H: 71.04925537109375
SENSE daac 425 26-04-2019 03:42:06.388 T: 29.88959884643554 [C]; A:[-28, -12, 196]; H: 70.13372802734375
SENSE daab 590 26-04-2019 03:42:06.652 T: 29.51519966125488 [C]; A:[84, 0, 220]; H: 71.04925537109375
SENSE daaa 591 26-04-2019 03:42:06.850 T: 28.57919883728027 [C]; A:[120, 68, 212]; H: 71.1026611328125
SENSE daaa 592 26-04-2019 03:42:07.253 T: 28.51679992675781 [C]; A:[116, 74, 210]; H: 71.1026611328125
SENSE daab 592 26-04-2019 03:42:07.413 T: 29.51519966125488 [C]; A:[88, 0, 212]; H: 71.04925537109375
SENSE daaa 593 26-04-2019 03:42:07.651 T: 28.57919883728027 [C]; A:[114, 70, 210]; H: 71.1026611328125
SENSE daac 427 26-04-2019 03:42:07.472 T: 29.88959884643554 [C]; A:[-34, -8, 196]; H: 70.13372802734375
SENSE daab 593 26-04-2019 03:42:07.821 T: 29.51519966125488 [C]; A:[86, -4, 218]; H: 71.04925537109375
SENSE daab 594 26-04-2019 03:42:08.219 T: 29.57759857177734 [C]; A:[88, 0, 222]; H: 71.04925537109375
SENSE daac 428 26-04-2019 03:42:08.032 T: 29.88959884643554 [C]; A:[-28, -12, 198]; H: 70.13372802734375
SENSE daaa 595 26-04-2019 03:42:08.427 T: 28.57919883728027 [C]; A:[122, 78, 212]; H: 71.1026611328125
SENSE daaa 595 26-04-2019 03:42:08.427 T: 28.57919883728027 [C]; A:[122, 78, 212]; H: 71.1026611328125
SENSE daab 595 26-04-2019 03:42:08.617 T: 29.51519966125488 [C]; A:[82, 0, 220]; H: 71.07977294921875
SENSE daaa 596 26-04-2019 03:42:08.835 T: 28.57919883728027 [C]; A:[118, 70, 212]; H: 71.1026611328125
SENSE daac 429 26-04-2019 03:42:08.592 T: 29.88959884643554 [C]; A:[-30, -6, 202]; H: 70.10321044921875
SENSE daab 596 26-04-2019 03:42:09.020 T: 29.51519966125488 [C]; A:[86, -6, 216]; H: 71.07977294921875
SENSE daaa 597 26-04-2019 03:42:09.249 T: 28.57919883728027 [C]; A:[118, 78, 212]; H: 71.12554931640625
SENSE daac 430 26-04-2019 03:42:09.173 T: 29.82719993591308 [C]; A:[-32, -8, 204]; H: 70.0498046875
SENSE daab 597 26-04-2019 03:42:09.418 T: 29.51519966125488 [C]; A:[88, -6, 214]; H: 71.11029052734375
SENSE daab 598 26-04-2019 03:42:09.816 T: 29.51519966125488 [C]; A:[86, 0, 220]; H: 71.11029052734375
SENSE daac 431 26-04-2019 03:42:09.748 T: 29.88959884643554 [C]; A:[-32, -10, 200]; H: 70.0498046875
SENSE daaa 599 26-04-2019 03:42:10.060 T: 28.57919883728027 [C]; A:[118, 76, 210]; H: 71.12554931640625
SENSE daab 599 26-04-2019 03:42:10.234 T: 29.57759857177734 [C]; A:[86, 0, 216]; H: 71.11029052734375
SENSE daaa 600 26-04-2019 03:42:10.463 T: 28.57919883728027 [C]; A:[116, 76, 208]; H: 71.12554931640625
SENSE daac 432 26-04-2019 03:42:10.313 T: 29.88959884643554 [C]; A:[-28, -8, 200]; H: 70.019287109375
SENSE daaa 601 26-04-2019 03:42:10.861 T: 28.57919883728027 [C]; A:[116, 74, 214]; H: 71.12554931640625
SENSE daab 601 26-04-2019 03:42:10.995 T: 29.51519966125488 [C]; A:[86, 2, 220]; H: 71.11029052734375
SENSE daaa 602 26-04-2019 03:42:11.259 T: 28.57919883728027 [C]; A:[118, 76, 210]; H: 71.12554931640625
SENSE daab 602 26-04-2019 03:42:11.393 T: 29.51519966125488 [C]; A:[86, 0, 216]; H: 71.11029052734375
SENSE daaa 603 26-04-2019 03:42:11.657 T: 28.57919883728027 [C]; A:[116, 74, 202]; H: 71.12554931640625
SENSE daab 603 26-04-2019 03:42:11.791 T: 29.51519966125488 [C]; A:[84, 0, 222]; H: 71.1331787109375
SENSE daaa 604 26-04-2019 03:42:12.075 T: 28.57919883728027 [C]; A:[116, 74, 212]; H: 71.15606689453125
SENSE daac 435 26-04-2019 03:42:11.923 T: 29.88959884643554 [C]; A:[-32, -14, 204]; H: 70.0498046875
SENSE daaa 605 26-04-2019 03:42:12.483 T: 28.57919883728027 [C]; A:[120, 74, 212]; H: 71.15606689453125
SENSE daab 605 26-04-2019 03:42:12.548 T: 29.51519966125488 [C]; A:[88, -4, 216]; H: 71.1331787109375
SENSE daaa 606 26-04-2019 03:42:12.892 T: 28.57919883728027 [C]; A:[116, 78, 214]; H: 71.15606689453125
SENSE daab 606 26-04-2019 03:42:12.966 T: 29.57759857177734 [C]; A:[86, 0, 222]; H: 71.1636962890625
SENSE daab 607 26-04-2019 03:42:13.363 T: 29.57759857177734 [C]; A:[84, 0, 220]; H: 71.1636962890625
SENSE daaa 609 26-04-2019 03:42:14.011 T: 28.57919883728027 [C]; A:[118, 70, 212]; H: 71.18658447265625
SENSE daab 609 26-04-2019 03:42:14.130 T: 29.51519966125488 [C]; A:[82, 0, 218]; H: 71.1636962890625
SENSE daac 439 26-04-2019 03:42:14.108 T: 29.88959884643554 [C]; A:[-32, -4, 204]; H: 70.10321044921875
SENSE daab 610 26-04-2019 03:42:14.533 T: 29.57759857177734 [C]; A:[84, 0, 216]; H: 71.1636962890625
SENSE daaa 611 26-04-2019 03:42:14.783 T: 28.57919883728027 [C]; A:[118, 70, 210]; H: 71.239990234375
SENSE daac 440 26-04-2019 03:42:14.673 T: 29.82719993591308 [C]; A:[-38, -8, 200]; H: 70.10321044921875
SENSE daab 611 26-04-2019 03:42:14.931 T: 29.57759857177734 [C]; A:[88, 0, 222]; H: 71.1636962890625
SENSE daab 612 26-04-2019 03:42:15.349 T: 29.51519966125488 [C]; A:[86, 0, 222]; H: 71.1636962890625
SENSE daac 441 26-04-2019 03:42:15.238 T: 29.88959884643554 [C]; A:[-28, -10, 196]; H: 70.13372802734375
SENSE daaa 613 26-04-2019 03:42:15.559 T: 28.57919883728027 [C]; A:[118, 72, 214]; H: 71.239990234375
SENSE daab 613 26-04-2019 03:42:15.757 T: 29.51519966125488 [C]; A:[88, 0, 216]; H: 71.1636962890625
SENSE daaa 614 26-04-2019 03:42:15.957 T: 28.57919883728027 [C]; A:[118, 76, 208]; H: 71.239990234375
SENSE daab 614 26-04-2019 03:42:16.184 T: 29.51519966125488 [C]; A:[88, 0, 216]; H: 71.1636962890625
SENSE daaa 615 26-04-2019 03:42:16.355 T: 28.57919883728027 [C]; A:[116, 72, 208]; H: 71.2705078125
SENSE daac 443 26-04-2019 03:42:16.338 T: 29.88959884643554 [C]; A:[-28, -6, 200]; H: 70.13372802734375
SENSE daab 615 26-04-2019 03:42:16.582 T: 29.51519966125488 [C]; A:[86, 0, 222]; H: 71.1636962890625
SENSE daaa 617 26-04-2019 03:42:17.116 T: 28.57919883728027 [C]; A:[114, 76, 210]; H: 71.2705078125
SENSE daac 444 26-04-2019 03:42:16.898 T: 29.88959884643554 [C]; A:[-32, -12, 200]; H: 70.13372802734375
SENSE daaa 618 26-04-2019 03:42:17.520 T: 28.57919883728027 [C]; A:[116, 72, 210]; H: 71.2705078125
SENSE daac 445 26-04-2019 03:42:17.488 T: 29.88959884643554 [C]; A:[-34, -10, 196]; H: 70.13372802734375
SENSE daab 618 26-04-2019 03:42:17.712 T: 29.51519966125488 [C]; A:[88, 0, 216]; H: 71.21710205078125
SENSE daaa 619 26-04-2019 03:42:17.923 T: 28.57919883728027 [C]; A:[116, 72, 214]; H: 71.2705078125
SENSE daab 619 26-04-2019 03:42:18.115 T: 29.57759857177734 [C]; A:[88, -4, 220]; H: 71.21710205078125
SENSE daac 446 26-04-2019 03:42:18.063 T: 29.82719993591308 [C]; A:[-34, -10, 196]; H: 70.13372802734375
SENSE daaa 620 26-04-2019 03:42:18.321 T: 28.57919883728027 [C]; A:[112, 70, 214]; H: 71.2705078125
SENSE daab 620 26-04-2019 03:42:18.513 T: 29.57759857177734 [C]; A:[88, 0, 216]; H: 71.21710205078125
SENSE daaa 621 26-04-2019 03:42:18.719 T: 28.57919883728027 [C]; A:[118, 76, 210]; H: 71.2705078125
SENSE daac 447 26-04-2019 03:42:18.633 T: 29.88959884643554 [C]; A:[-34, -12, 202]; H: 70.10321044921875
SENSE daab 621 26-04-2019 03:42:18.911 T: 29.51519966125488 [C]; A:[86, 0, 218]; H: 71.21710205078125
SENSE daaa 622 26-04-2019 03:42:19.122 T: 28.57919883728027 [C]; A:[116, 76, 206]; H: 71.29339599609375
SENSE daab 622 26-04-2019 03:42:19.309 T: 29.51519966125488 [C]; A:[86, 0, 222]; H: 71.21710205078125
SENSE daac 448 26-04-2019 03:42:19.212 T: 29.88959884643554 [C]; A:[-32, -14, 192]; H: 70.10321044921875
SENSE daaa 623 26-04-2019 03:42:19.545 T: 28.57919883728027 [C]; A:[124, 72, 212]; H: 71.29339599609375
SENSE daab 623 26-04-2019 03:42:19.707 T: 29.57759857177734 [C]; A:[86, 0, 220]; H: 71.21710205078125
SENSE daac 449 26-04-2019 03:42:19.772 T: 29.88959884643554 [C]; A:[-32, -10, 206]; H: 70.10321044921875
SENSE daab 624 26-04-2019 03:42:20.105 T: 29.57759857177734 [C]; A:[86, 0, 224]; H: 71.21710205078125
SENSE daaa 625 26-04-2019 03:42:20.306 T: 28.57919883728027 [C]; A:[118, 80, 206]; H: 71.29339599609375
SENSE daac 450 26-04-2019 03:42:20.332 T: 29.82719993591308 [C]; A:[-32, -12, 200]; H: 70.10321044921875
SENSE daaa 626 26-04-2019 03:42:20.715 T: 28.57919883728027 [C]; A:[116, 76, 208]; H: 71.29339599609375
SENSE daab 626 26-04-2019 03:42:20.876 T: 29.57759857177734 [C]; A:[86, 0, 226]; H: 71.21710205078125
SENSE daac 451 26-04-2019 03:42:20.902 T: 29.88959884643554 [C]; A:[-30, -10, 196]; H: 70.10321044921875
SENSE daab 627 26-04-2019 03:42:21.284 T: 29.51519966125488 [C]; A:[82, 0, 222]; H: 71.21710205078125
SENSE daaa 628 26-04-2019 03:42:21.486 T: 28.57919883728027 [C]; A:[116, 74, 208]; H: 71.29339599609375
SENSE daab 628 26-04-2019 03:42:21.692 T: 29.51519966125488 [C]; A:[82, 0, 220]; H: 71.21710205078125
SENSE daaa 629 26-04-2019 03:42:21.894 T: 28.57919883728027 [C]; A:[116, 76, 212]; H: 71.29339599609375
SENSE daab 629 26-04-2019 03:42:22.095 T: 29.51519966125488 [C]; A:[90, 0, 218]; H: 71.21710205078125
SENSE daac 453 26-04-2019 03:42:21.997 T: 29.88959884643554 [C]; A:[-32, -4, 200]; H: 70.0498046875
SENSE daaa 630 26-04-2019 03:42:22.292 T: 28.57919883728027 [C]; A:[118, 70, 206]; H: 71.29339599609375
SENSE daab 630 26-04-2019 03:42:22.493 T: 29.51519966125488 [C]; A:[88, 0, 216]; H: 71.21710205078125
SENSE daaa 631 26-04-2019 03:42:22.690 T: 28.57919883728027 [C]; A:[110, 74, 212]; H: 71.29339599609375
SENSE daac 454 26-04-2019 03:42:22.552 T: 29.82719993591308 [C]; A:[-32, -8, 200]; H: 70.10321044921875
SENSE daab 631 26-04-2019 03:42:22.891 T: 29.51519966125488 [C]; A:[86, 0, 216]; H: 71.21710205078125
SENSE daaa 632 26-04-2019 03:42:23.094 T: 28.57919883728027 [C]; A:[112, 76, 210]; H: 71.29339599609375
SENSE daab 632 26-04-2019 03:42:23.289 T: 29.57759857177734 [C]; A:[88, 0, 220]; H: 71.21710205078125
